"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"Balaji Telefilms Ltd","95.00","01/02/2019","45.00","22/08/2019"
"Balaxi Ventures","140.40","13/05/2019","27.10","04/02/2019"
"Balkrishna Ind.","1,137.80","23/01/2020","682.00","04/09/2019"
"Balkrishna Paper Mil","47.50","13/03/2019","15.15","23/08/2019"
"Ballarpur Ind.","4.30","06/03/2019","0.30","19/12/2019"
"Balmer Lawrie &","142.27","30/10/2019","106.22","15/02/2019"
"Balrampur Chini","195.00","07/01/2020","100.00","31/01/2019"
"Banaras Beads Li","62.00","30/04/2019","25.90","10/10/2019"
"Banco Products","175.90","05/02/2019","90.05","23/08/2019"
"Bandhan Bank","650.00","29/10/2019","397.00","31/01/2019"
"Bang Overseas Ltd.","56.70","05/02/2019","15.15","26/11/2019"
"Bank of Baroda","144.00","23/05/2019","85.65","01/10/2019"
"Bank of India","108.15","01/04/2019","57.45","09/10/2019"
"Bank of Maharash","19.90","30/04/2019","8.65","15/10/2019"
"Banka Bioloo","112.35","10/06/2019","58.90","26/02/2019"
"Bannari Amman Spinni","210.00","05/03/2019","105.15","29/08/2019"
"Bannari Amman Su","1,699.90","12/03/2019","1,050.00","11/10/2019"
"Bansal Multiflex","33.30","08/01/2019","1.25","22/10/2019"
"Banswara Syntex","132.70","28/01/2020","45.80","05/08/2019"
"Barak Valley Cements","19.50","10/05/2019","9.60","29/10/2019"
"Bartronics India Ltd","7.75","25/02/2019","1.15","30/10/2019"
"BASF India Lt","1,500.00","26/03/2019","920.00","16/10/2019"
"Bata India","1,866.00","27/01/2020","1,087.10","31/01/2019"
"BayerCropscience","4,480.00","05/02/2019","2,966.05","02/08/2019"
"BDR Buildcon","118.00","10/03/2016","54.00","17/10/2016"
"Beardsell Ltd.","20.80","07/05/2019","6.80","13/12/2019"
"Bedmutha Industries","22.65","18/04/2019","9.40","01/11/2019"
"BEML Ltd.","1,108.95","30/10/2019","698.25","13/08/2019"
"Berger Paints I","579.90","30/01/2020","285.20","18/02/2019"
"Best & Crompton","7.90","07/07/2014","2.95","20/03/2014"
"Beta Drugs","124.00","30/04/2019","57.60","08/01/2020"
"BF Investment Ltd.","377.00","01/11/2019","168.05","19/02/2019"
"BF Utilities Ltd.","361.30","10/12/2019","145.40","23/08/2019"
"BGR Energy Systems","73.25","13/03/2019","27.75","18/11/2019"
"Bhageria Industries","145.00","29/05/2019","88.05","10/12/2019"
"Bhagyanagar India Lt","36.10","04/02/2019","16.65","03/12/2019"
"Bhagyanagar Properti","33.75","11/02/2019","16.30","09/10/2019"
"Bhandari Hosiery","2.25","28/05/2019","1.00","16/10/2019"
"Bhansali Engg.Po","87.70","15/04/2019","37.20","11/12/2019"
"Bharat Bijlee","1,215.00","30/05/2019","767.05","10/12/2019"
"Bharat Dynamics","364.80","13/11/2019","225.00","14/02/2019"
"Bharat Electroni","122.10","30/10/2019","72.50","14/02/2019"
"Bharat Financial Inc","1,234.80","03/08/2018","823.75","31/10/2018"
"Bharat Forge","548.25","15/03/2019","376.00","04/09/2019"
"Bharat Gears","167.13","01/04/2019","55.00","23/08/2019"
"Bharat Heavy Ele","78.85","16/04/2019","41.30","16/10/2019"
"Bharat Petroleum","549.00","21/11/2019","308.35","23/08/2019"
"Bharat Rasayan","7,020.00","15/11/2019","3,325.00","18/02/2019"
"Bharat Road Network","144.95","04/04/2019","55.00","02/01/2020"
"Bharat Wire Ropes Lt","67.00","05/03/2019","23.05","24/12/2019"
"Bharati Defence","8.40","16/02/2018","1.95","31/01/2019"
"Bharatiya Global Inf","2.85","31/01/2019","0.95","05/08/2019"
"Bharti Airtel","527.35","24/01/2020","276.76","05/02/2019"
"Bharti Infratel Ltd.","335.00","08/02/2019","176.35","30/10/2019"
"Bhartiya Interna","340.00","14/06/2019","113.55","22/10/2019"
"Bigbloc Construction","41.00","28/11/2019","21.00","15/10/2019"
"Bil Energy Systems L","5.80","18/04/2019","0.65","18/10/2019"
"Bilpower Ltd.","1.40","15/05/2018","0.40","27/09/2018"
"Bimetal Bear.","497.00","22/01/2015","193.50","20/02/2014"
"Binani Industrie","55.85","28/01/2019","5.70","29/10/2019"
"Biocon","334.75","01/02/2019","211.05","20/08/2019"
"Biofil Chemicals","22.70","31/12/2019","4.05","25/10/2019"
"Birla Cable","182.30","11/02/2019","38.00","23/08/2019"
"Birla Corporation Lt","804.95","20/01/2020","439.80","05/02/2019"
"Birla Cotsyn (India)","0.15","08/11/2016","0.05","08/03/2016"
"Birla Power Solution","0.25","28/07/2014","0.05","07/08/2014"
"Birlasoft","117.80","06/03/2019","57.50","14/08/2019"
"BKM Industries","6.60","31/01/2019","0.50","23/01/2020"
"BLB Ltd.","6.90","23/05/2019","2.85","09/10/2019"
"Bliss GVS Pharma","183.70","27/02/2019","73.75","23/08/2019"
"BLS International Se","144.80","08/04/2019","57.50","15/11/2019"
"Blue Blends (I)","4.00","28/02/2019","0.60","13/11/2019"
"Blue Chip India","0.65","04/02/2019","0.10","13/01/2020"
"Blue Coast Hotels L","52.25","11/03/2019","1.50","29/10/2019"
"Blue Dart Expres","3,700.00","28/03/2019","2,016.00","27/11/2019"
"Blue Star","887.55","29/01/2020","560.00","19/02/2019"
"Blue Star Infotech","314.80","19/08/2015","161.00","08/06/2015"
"Bodal Chemicals","132.25","02/04/2019","53.75","24/12/2019"
"Bodhtree Consulting","34.20","10/03/2014","7.60","01/12/2014"
"Bohra Industries","21.50","06/02/2019","1.25","30/01/2020"
"Bombay Burmah","1,388.00","23/09/2019","737.00","22/08/2019"
"Bombay Dyeing","149.30","19/03/2019","60.70","23/08/2019"
"Bombay Rayon Fashion","10.40","24/05/2019","3.60","01/11/2019"
"Bombay Super Hybrid","134.05","29/10/2019","96.67","07/08/2019"
"Borosil Glass","237.50","06/03/2019","113.10","22/08/2019"
"Bosch Ltd.","19,494.00","04/02/2019","12,700.00","14/08/2019"
"BPL Ltd.","37.85","01/02/2019","13.65","23/08/2019"
"Brand Concepts L","74.50","02/04/2019","23.90","16/01/2020"
"Brandhouse Retails L","1.95","06/02/2015","0.30","09/11/2015"
"Brigade Enterprises","245.95","31/01/2020","125.10","12/02/2019"
"Bright Solar","40.00","31/01/2019","6.45","24/09/2019"
"Brightcom Group","7.05","02/05/2019","2.45","24/10/2019"
"Britannia Ind.","3,583.75","23/09/2019","1,150.00","21/08/2019"
"Broadcast Initiative","4.55","01/02/2016","2.80","05/10/2016"
"Brooks Laboratories","63.00","26/02/2019","22.30","11/12/2019"
"BS","1.90","11/01/2018","0.25","01/10/2018"
